,NAME,Total Population,Pop White Alone,Pop Black Alone,Pop Hispanic or Latino,Median Household Income,Edu Bachelors or Higher,Age 65-66,Age 67-69,Age 70-74,Age 75-79,Age 80-84,Age 85 Plus,Age 18-19,Age 20,Age 21,Age 22-24,Owner Occupied Units,Renter Occupied Units,Foreign Born Pop,state,county,year
13,"Bucks County, Pennsylvania",626220.0,556082.0,24226.0,30399.0,79559.0,102554.0,6948.0,9505.0,10763.0,7818.0,5448.0,5242.0,7632.0,3291.0,3581.0,11327.0,178754.0,54763.0,19784.0,42,017,2016
14,"Lehigh County, Pennsylvania",358792.0,282360.0,24174.0,78318.0,57685.0,43341.0,3515.0,4735.0,5818.0,4127.0,3105.0,3020.0,4665.0,2625.0,2172.0,6824.0,89060.0,46303.0,15678.0,42,077,2016
15,"Clarion County, Pennsylvania",38939.0,37669.0,462.0,301.0,42890.0,3349.0,383.0,599.0,807.0,595.0,384.0,317.0,739.0,584.0,457.0,783.0,10988.0,4860.0,162.0,42,031,2016
16,"Greene County, Pennsylvania",37669.0,35066.0,1650.0,536.0,49116.0,2968.0,440.0,615.0,752.0,429.0,334.0,324.0,546.0,270.0,254.0,889.0,10483.0,3917.0,133.0,42,059,2016
17,"Luzerne County, Pennsylvania",318917.0,285749.0,12798.0,29797.0,46577.0,30966.0,3911.0,5006.0,6015.0,4589.0,3104.0,2754.0,4336.0,2242.0,2390.0,6341.0,86663.0,40851.0,9755.0,42,079,2016
18,"Armstrong County, Pennsylvania",67512.0,66101.0,634.0,456.0,45879.0,5301.0,805.0,1187.0,1515.0,1103.0,689.0,718.0,694.0,405.0,319.0,1093.0,21373.0,6877.0,159.0,42,005,2016
19,"Clinton County, Pennsylvania",39536.0,38030.0,645.0,537.0,47163.0,2805.0,476.0,569.0,727.0,548.0,382.0,357.0,951.0,448.0,543.0,1103.0,10394.0,4316.0,285.0,42,035,2016
20,"Carbon County, Pennsylvania",64330.0,61831.0,1161.0,2616.0,50822.0,4692.0,920.0,1148.0,1419.0,945.0,748.0,519.0,652.0,470.0,222.0,939.0,20138.0,5675.0,484.0,42,025,2016
21,"Centre County, Pennsylvania",159178.0,140074.0,6043.0,4390.0,54407.0,20908.0,1504.0,1670.0,2117.0,1788.0,1045.0,865.0,6232.0,4143.0,5139.0,6922.0,34796.0,22241.0,9076.0,42,027,2016
22,"Northumberland County, Pennsylvania",93590.0,89072.0,2668.0,2852.0,43701.0,6490.0,1229.0,1435.0,1931.0,1530.0,899.0,918.0,993.0,515.0,463.0,1942.0,27836.0,11356.0,441.0,42,097,2016
23,"Northampton County, Pennsylvania",300520.0,259549.0,15282.0,36294.0,62753.0,37060.0,3358.0,4362.0,5370.0,4001.0,2917.0,2479.0,5133.0,2653.0,2504.0,5714.0,80275.0,32544.0,8619.0,42,095,2016
24,"Venango County, Pennsylvania",53460.0,51796.0,445.0,567.0,43885.0,4202.0,583.0,937.0,1271.0,1006.0,540.0,391.0,623.0,381.0,327.0,769.0,16606.0,5356.0,159.0,42,121,2016
25,"Beaver County, Pennsylvania",169205.0,153775.0,10273.0,2409.0,51887.0,19734.0,1814.0,2727.0,3415.0,2514.0,1959.0,1676.0,1905.0,1062.0,989.0,2951.0,51180.0,18741.0,818.0,42,007,2016
26,"Lackawanna County, Pennsylvania",213006.0,197017.0,6337.0,13462.0,46673.0,24636.0,2334.0,3274.0,4337.0,2814.0,1795.0,2162.0,3037.0,1836.0,1339.0,3761.0,56117.0,29057.0,6070.0,42,069,2016
27,"McKean County, Pennsylvania",42609.0,40254.0,1102.0,887.0,44023.0,3148.0,476.0,669.0,826.0,551.0,440.0,469.0,662.0,334.0,277.0,790.0,12816.0,4443.0,324.0,42,083,2016
28,"Fayette County, Pennsylvania",134229.0,124542.0,5450.0,1385.0,40511.0,9752.0,1976.0,1976.0,2705.0,1794.0,1422.0,1306.0,1378.0,992.0,945.0,2242.0,38988.0,14666.0,626.0,42,051,2016
29,"Montgomery County, Pennsylvania",815876.0,655493.0,72312.0,38600.0,81902.0,152162.0,8134.0,11107.0,13299.0,9444.0,7427.0,7592.0,9685.0,4166.0,4522.0,14426.0,223629.0,86255.0,37198.0,42,091,2016
30,"Clearfield County, Pennsylvania",81170.0,77296.0,2026.0,2309.0,43361.0,5427.0,914.0,1393.0,1709.0,1269.0,860.0,650.0,862.0,518.0,501.0,1811.0,24239.0,7064.0,1876.0,42,033,2016
31,"Lebanon County, Pennsylvania",136950.0,120440.0,2828.0,16007.0,56191.0,11395.0,1492.0,2198.0,2556.0,1929.0,1542.0,1170.0,1708.0,893.0,1238.0,2139.0,36350.0,15897.0,2495.0,42,075,2016
32,"Lycoming County, Pennsylvania",116313.0,106874.0,5645.0,2075.0,48731.0,10629.0,1300.0,1581.0,2263.0,1602.0,1168.0,956.0,1973.0,1116.0,919.0,2354.0,31989.0,13598.0,830.0,42,081,2016
33,"Montour County, Pennsylvania",18404.0,17358.0,334.0,441.0,55233.0,2095.0,166.0,322.0,363.0,215.0,238.0,181.0,207.0,125.0,95.0,207.0,5342.0,2019.0,303.0,42,093,2016
34,"Warren County, Pennsylvania",40649.0,39766.0,204.0,406.0,44977.0,3652.0,542.0,710.0,1003.0,726.0,516.0,395.0,469.0,181.0,167.0,770.0,12953.0,3951.0,191.0,42,123,2016
35,"Butler County, Pennsylvania",185974.0,178887.0,2038.0,2440.0,63345.0,27839.0,2213.0,2767.0,3245.0,2307.0,1737.0,1626.0,2755.0,1166.0,1088.0,3365.0,57355.0,17407.0,1585.0,42,019,2016
36,"Elk County, Pennsylvania",31111.0,30499.0,155.0,223.0,47917.0,2777.0,387.0,512.0,712.0,511.0,425.0,294.0,330.0,184.0,91.0,521.0,10503.0,2859.0,74.0,42,047,2016
37,"Lancaster County, Pennsylvania",533110.0,472127.0,22015.0,52083.0,59237.0,59026.0,5829.0,7441.0,8389.0,6703.0,5016.0,5084.0,7499.0,3716.0,3807.0,10149.0,134255.0,61916.0,11139.0,42,071,2016
38,"Mercer County, Pennsylvania",114598.0,104771.0,6558.0,1514.0,45831.0,10914.0,1330.0,1714.0,2376.0,1822.0,1306.0,1242.0,1879.0,1058.0,798.0,2241.0,33291.0,12059.0,690.0,42,085,2016
39,"Potter County, Pennsylvania",17239.0,16807.0,93.0,207.0,40921.0,1069.0,237.0,303.0,502.0,305.0,188.0,214.0,180.0,68.0,109.0,325.0,5088.0,1535.0,94.0,42,105,2016
40,"Tioga County, Pennsylvania",42031.0,40821.0,222.0,523.0,48449.0,3672.0,619.0,624.0,1051.0,808.0,496.0,291.0,628.0,265.0,358.0,795.0,12165.0,4175.0,203.0,42,117,2016
41,"Columbia County, Pennsylvania",66772.0,63555.0,1231.0,1685.0,46952.0,5874.0,908.0,775.0,1283.0,847.0,640.0,556.0,1500.0,813.0,944.0,1653.0,18343.0,8013.0,727.0,42,037,2016
42,"Jefferson County, Pennsylvania",44575.0,43697.0,284.0,363.0,43913.0,3100.0,580.0,751.0,909.0,742.0,476.0,399.0,515.0,221.0,252.0,903.0,13742.0,4618.0,102.0,42,065,2016
43,"Perry County, Pennsylvania",45647.0,44455.0,408.0,769.0,58585.0,3501.0,660.0,671.0,879.0,575.0,313.0,275.0,498.0,329.0,217.0,833.0,14277.0,3606.0,344.0,42,099,2016
44,"Sullivan County, Pennsylvania",6302.0,5951.0,156.0,109.0,44926.0,443.0,94.0,151.0,218.0,172.0,85.0,85.0,181.0,43.0,41.0,134.0,2186.0,461.0,76.0,42,113,2016
45,"Dauphin County, Pennsylvania",271962.0,195198.0,49840.0,22415.0,54968.0,33873.0,3401.0,3458.0,3759.0,3063.0,2199.0,1793.0,3172.0,1463.0,2055.0,4874.0,69706.0,40505.0,9870.0,42,043,2016
46,"Franklin County, Pennsylvania",152707.0,142099.0,5867.0,7724.0,55751.0,13103.0,1792.0,2387.0,2917.0,2144.0,1492.0,1604.0,2036.0,820.0,763.0,2498.0,42175.0,17217.0,2883.0,42,055,2016
47,"Union County, Pennsylvania",45178.0,39673.0,3132.0,2572.0,51349.0,3875.0,415.0,525.0,849.0,545.0,397.0,414.0,1267.0,720.0,530.0,876.0,10395.0,4254.0,967.0,42,119,2016
48,"Wayne County, Pennsylvania",51307.0,48155.0,1823.0,2080.0,50595.0,4652.0,826.0,1006.0,1400.0,831.0,516.0,496.0,524.0,345.0,267.0,978.0,15167.0,4006.0,473.0,42,127,2016
49,"Bedford County, Pennsylvania",48852.0,47729.0,263.0,545.0,46746.0,2941.0,723.0,783.0,1156.0,929.0,525.0,456.0,541.0,200.0,258.0,869.0,15772.0,3985.0,139.0,42,009,2016
50,"Monroe County, Pennsylvania",167126.0,129349.0,23320.0,24474.0,58980.0,17027.0,1992.0,2385.0,3165.0,1707.0,1300.0,982.0,2990.0,1393.0,1156.0,3890.0,44224.0,12903.0,5614.0,42,089,2016
51,"Huntingdon County, Pennsylvania",45844.0,42153.0,2501.0,853.0,45250.0,3134.0,602.0,823.0,1018.0,658.0,486.0,354.0,669.0,536.0,328.0,839.0,12799.0,4176.0,268.0,42,061,2016
52,"Washington County, Pennsylvania",208269.0,195449.0,5987.0,3133.0,57534.0,27553.0,2882.0,3354.0,3871.0,3032.0,2312.0,1648.0,2965.0,1453.0,1265.0,3641.0,63190.0,20555.0,2012.0,42,125,2016
53,"Philadelphia County, Pennsylvania",1559938.0,643570.0,668573.0,214770.0,39770.0,160379.0,12007.0,15559.0,18271.0,13331.0,9344.0,8570.0,23414.0,14043.0,12436.0,37451.0,305214.0,277380.0,103071.0,42,101,2016
54,"York County, Pennsylvania",440604.0,391989.0,25613.0,29299.0,59853.0,45907.0,4840.0,6267.0,7791.0,5730.0,3620.0,2919.0,5631.0,3038.0,2668.0,7804.0,125132.0,42876.0,7414.0,42,133,2016
55,"Indiana County, Pennsylvania",87491.0,82716.0,2136.0,1106.0,45118.0,7408.0,1037.0,1174.0,1746.0,1341.0,794.0,578.0,2328.0,1609.0,1273.0,2563.0,24142.0,9917.0,742.0,42,063,2016
56,"Cumberland County, Pennsylvania",243838.0,217203.0,8668.0,8282.0,62640.0,35250.0,2552.0,3237.0,4764.0,3322.0,2005.0,2018.0,3751.0,2072.0,2222.0,4323.0,68118.0,28383.0,6998.0,42,041,2016
57,"Allegheny County, Pennsylvania",1230360.0,992002.0,159592.0,23255.0,54357.0,201893.0,13325.0,16128.0,20230.0,14359.0,12041.0,12300.0,16651.0,7573.0,8041.0,25414.0,343625.0,187450.0,37864.0,42,003,2016
58,"Westmoreland County, Pennsylvania",359377.0,341205.0,8673.0,3825.0,54142.0,45089.0,4946.0,5678.0,8095.0,5514.0,3798.0,4072.0,4224.0,2110.0,1871.0,6604.0,116661.0,34036.0,1822.0,42,129,2016
59,"Forest County, Pennsylvania",7493.0,4653.0,2371.0,565.0,36594.0,330.0,136.0,145.0,242.0,183.0,87.0,38.0,66.0,39.0,134.0,441.0,1538.0,278.0,78.0,42,053,2016
60,"Blair County, Pennsylvania",125917.0,120688.0,2018.0,1430.0,44033.0,11672.0,1776.0,1949.0,2313.0,1537.0,1395.0,1410.0,1649.0,945.0,723.0,2383.0,36009.0,14945.0,458.0,42,013,2016
61,"Lawrence County, Pennsylvania",88528.0,82545.0,3366.0,1103.0,45764.0,8357.0,1176.0,1362.0,1680.0,1329.0,940.0,1048.0,1091.0,719.0,430.0,1538.0,26755.0,9547.0,393.0,42,073,2016
62,"Bradford County, Pennsylvania",61808.0,60019.0,351.0,886.0,51035.0,5187.0,790.0,1105.0,1401.0,963.0,764.0,504.0,639.0,337.0,390.0,942.0,18310.0,6173.0,294.0,42,015,2016
63,"Cambria County, Pennsylvania",137762.0,129288.0,4592.0,2102.0,42917.0,12386.0,1722.0,2284.0,2937.0,2105.0,1650.0,1237.0,2035.0,1140.0,1024.0,2437.0,42387.0,14827.0,736.0,42,021,2016
64,"Chester County, Pennsylvania",512028.0,441027.0,29907.0,36161.0,88995.0,103913.0,5361.0,6511.0,8194.0,5668.0,3864.0,3487.0,7436.0,3002.0,3546.0,9493.0,140527.0,46194.0,26898.0,42,029,2016
65,"Berks County, Pennsylvania",414097.0,346269.0,20009.0,77946.0,57068.0,42415.0,4325.0,5558.0,6787.0,5046.0,3971.0,3092.0,6390.0,3306.0,2686.0,8553.0,109472.0,42979.0,14995.0,42,011,2016
66,"Mifflin County, Pennsylvania",46585.0,45239.0,301.0,633.0,42019.0,2723.0,505.0,790.0,1056.0,715.0,556.0,546.0,487.0,237.0,263.0,765.0,13118.0,5577.0,205.0,42,087,2016
67,"Mason County, Michigan",28755.0,27466.0,251.0,1257.0,43497.0,2731.0,381.0,673.0,678.0,612.0,293.0,187.0,316.0,152.0,136.0,556.0,9243.0,2928.0,303.0,26,105,2016
68,"Menominee County, Michigan",23568.0,22286.0,65.0,383.0,41235.0,1988.0,353.0,467.0,563.0,494.0,272.0,248.0,266.0,157.0,118.0,322.0,8324.0,2262.0,101.0,26,109,2016
69,"Montcalm County, Michigan",62922.0,59322.0,1261.0,2095.0,43126.0,3786.0,772.0,810.0,1254.0,757.0,535.0,492.0,797.0,339.0,385.0,1262.0,18057.0,5000.0,360.0,26,117,2016
70,"Missaukee County, Michigan",15032.0,14558.0,86.0,380.0,42077.0,937.0,224.0,280.0,380.0,253.0,134.0,141.0,181.0,106.0,79.0,236.0,4832.0,1011.0,147.0,26,113,2016
71,"St. Joseph County, Michigan",60923.0,55797.0,1537.0,4456.0,45410.0,3849.0,659.0,878.0,1142.0,916.0,448.0,366.0,762.0,245.0,400.0,1162.0,17027.0,6171.0,1389.0,26,149,2016
72,"St. Clair County, Michigan",160069.0,149831.0,3416.0,5058.0,50930.0,12656.0,2103.0,2470.0,2910.0,1922.0,1488.0,1181.0,1939.0,1122.0,1018.0,2809.0,48786.0,15743.0,1740.0,26,147,2016
73,"Van Buren County, Michigan",75216.0,65599.0,2552.0,8282.0,47141.0,6726.0,1023.0,1118.0,1358.0,999.0,644.0,396.0,1008.0,315.0,535.0,1352.0,22192.0,6431.0,2110.0,26,159,2016
74,"Washtenaw County, Michigan",358082.0,264906.0,42970.0,15908.0,62484.0,55999.0,3315.0,4027.0,4687.0,3164.0,2007.0,1838.0,9689.0,5586.0,5816.0,12678.0,82693.0,55979.0,24235.0,26,161,2016
75,"Arenac County, Michigan",15327.0,14803.0,76.0,291.0,39240.0,789.0,257.0,336.0,434.0,356.0,180.0,125.0,173.0,53.0,63.0,297.0,5411.0,1103.0,43.0,26,011,2016
76,"Barry County, Michigan",59316.0,57126.0,365.0,1528.0,56883.0,5060.0,767.0,1193.0,1016.0,756.0,539.0,401.0,768.0,458.0,236.0,931.0,18557.0,4301.0,552.0,26,015,2016
77,"Cass County, Michigan",51795.0,45880.0,2486.0,1800.0,47991.0,4232.0,748.0,1153.0,1092.0,850.0,520.0,308.0,641.0,235.0,385.0,890.0,16417.0,3829.0,408.0,26,027,2016
78,"Iron County, Michigan",11393.0,10938.0,63.0,190.0,33137.0,1116.0,203.0,275.0,403.0,266.0,136.0,214.0,100.0,42.0,27.0,152.0,4458.0,943.0,82.0,26,071,2016
79,"Benzie County, Michigan",17462.0,16756.0,75.0,397.0,48694.0,1926.0,288.0,413.0,512.0,378.0,199.0,196.0,177.0,104.0,97.0,244.0,6198.0,971.0,128.0,26,019,2016
80,"Roscommon County, Michigan",23900.0,23137.0,48.0,364.0,35959.0,1592.0,438.0,826.0,897.0,744.0,350.0,242.0,194.0,56.0,178.0,279.0,9165.0,2179.0,143.0,26,143,2016
81,"Schoolcraft County, Michigan",8186.0,7118.0,48.0,72.0,36649.0,673.0,169.0,198.0,188.0,189.0,85.0,115.0,89.0,45.0,76.0,66.0,2677.0,641.0,15.0,26,153,2016
82,"Wayne County, Michigan",1767593.0,940071.0,694872.0,99752.0,42043.0,157925.0,17401.0,19511.0,24620.0,16823.0,12124.0,11068.0,22604.0,13459.0,13652.0,36487.0,415477.0,253935.0,65676.0,26,163,2016
83,"Branch County, Michigan",43603.0,41096.0,1004.0,1890.0,46428.0,2769.0,477.0,660.0,916.0,696.0,280.0,300.0,521.0,290.0,246.0,717.0,12381.0,3737.0,728.0,26,023,2016
84,"Grand Traverse County, Michigan",90715.0,85831.0,1158.0,2378.0,55597.0,12375.0,1040.0,1507.0,1641.0,980.0,934.0,637.0,960.0,388.0,578.0,1686.0,27332.0,8376.0,1095.0,26,055,2016
85,"Jackson County, Michigan",159483.0,139499.0,13659.0,5307.0,47709.0,15493.0,1840.0,2388.0,2758.0,2132.0,1198.0,1086.0,2131.0,1126.0,1101.0,3294.0,44020.0,16783.0,1402.0,26,075,2016
86,"Genesee County, Michigan",413090.0,309146.0,83620.0,13426.0,43246.0,34598.0,4146.0,5773.0,6896.0,5072.0,3324.0,2600.0,5434.0,2640.0,2581.0,8174.0,115243.0,51001.0,3819.0,26,049,2016
87,"Antrim County, Michigan",23215.0,22263.0,79.0,454.0,48825.0,2859.0,363.0,535.0,781.0,577.0,322.0,244.0,245.0,86.0,106.0,346.0,8268.0,1573.0,223.0,26,009,2016
88,"Livingston County, Michigan",185841.0,179295.0,921.0,4094.0,76764.0,28598.0,1972.0,2994.0,3420.0,2232.0,1211.0,899.0,2433.0,1295.0,1197.0,3010.0,59228.0,10535.0,2005.0,26,093,2016
89,"Iosco County, Michigan",25373.0,24405.0,178.0,498.0,38900.0,1946.0,504.0,521.0,986.0,695.0,423.0,281.0,243.0,215.0,103.0,297.0,9131.0,2352.0,269.0,26,069,2016
90,"Manistee County, Michigan",24465.0,22401.0,698.0,680.0,42530.0,2229.0,491.0,515.0,625.0,449.0,347.0,275.0,285.0,136.0,222.0,514.0,8146.0,1831.0,157.0,26,101,2016
91,"Montmorency County, Michigan",9317.0,9038.0,23.0,116.0,37145.0,556.0,179.0,249.0,388.0,255.0,180.0,115.0,75.0,48.0,37.0,87.0,3496.0,626.0,52.0,26,119,2016
92,"Gladwin County, Michigan",25367.0,24704.0,88.0,354.0,39629.0,1485.0,449.0,581.0,834.0,607.0,323.0,225.0,261.0,175.0,72.0,389.0,9082.0,1756.0,64.0,26,051,2016
93,"Mecosta County, Michigan",43259.0,40303.0,1140.0,895.0,41827.0,3459.0,499.0,547.0,1039.0,667.0,271.0,325.0,1375.0,956.0,605.0,1641.0,11345.0,4183.0,610.0,26,107,2016
94,"Marquette County, Michigan",67418.0,62911.0,1109.0,941.0,46822.0,8958.0,839.0,1033.0,1357.0,867.0,529.0,669.0,1287.0,911.0,1015.0,1980.0,18429.0,7864.0,520.0,26,103,2016
95,"Osceola County, Michigan",23172.0,22365.0,218.0,387.0,39247.0,1353.0,319.0,421.0,514.0,418.0,259.0,146.0,279.0,143.0,151.0,341.0,6988.0,1859.0,96.0,26,133,2016
96,"Otsego County, Michigan",24198.0,23231.0,114.0,381.0,50793.0,2230.0,274.0,456.0,570.0,408.0,280.0,197.0,284.0,96.0,158.0,475.0,7936.0,1873.0,231.0,26,137,2016
97,"Cheboygan County, Michigan",25579.0,23858.0,188.0,324.0,41023.0,2229.0,448.0,649.0,739.0,454.0,360.0,350.0,272.0,224.0,74.0,361.0,9148.0,2037.0,103.0,26,031,2016
98,"Luce County, Michigan",6451.0,5131.0,482.0,182.0,38167.0,482.0,75.0,81.0,212.0,105.0,110.0,70.0,117.0,48.0,63.0,142.0,1743.0,573.0,73.0,26,095,2016
99,"Macomb County, Michigan",859703.0,711089.0,91582.0,21027.0,55951.0,92908.0,8706.0,10702.0,14593.0,9519.0,6670.0,6717.0,9931.0,5150.0,5973.0,16420.0,247442.0,91451.0,34975.0,26,099,2016
100,"Shiawassee County, Michigan",68800.0,66636.0,293.0,1899.0,48470.0,4950.0,786.0,974.0,1336.0,790.0,650.0,452.0,976.0,501.0,372.0,1255.0,20844.0,6636.0,267.0,26,155,2016
101,"Baraga County, Michigan",8612.0,6341.0,1567.0,122.0,42810.0,638.0,117.0,165.0,204.0,163.0,67.0,49.0,62.0,19.0,49.0,404.0,2495.0,467.0,78.0,26,013,2016
102,"Charlevoix County, Michigan",26172.0,24866.0,91.0,451.0,48603.0,3196.0,320.0,467.0,827.0,512.0,237.0,253.0,294.0,197.0,155.0,289.0,8854.0,2189.0,243.0,26,029,2016
103,"Eaton County, Michigan",108544.0,94521.0,6718.0,5601.0,56472.0,12563.0,1408.0,1732.0,1880.0,1277.0,934.0,669.0,1395.0,753.0,643.0,2166.0,31195.0,12713.0,2016.0,26,045,2016
104,"Gogebic County, Michigan",15650.0,14164.0,708.0,188.0,35833.0,1395.0,315.0,321.0,351.0,327.0,226.0,151.0,213.0,156.0,70.0,383.0,5176.0,1460.0,81.0,26,053,2016
105,"Emmet County, Michigan",33091.0,30628.0,220.0,506.0,51096.0,4889.0,415.0,631.0,798.0,597.0,310.0,247.0,419.0,182.0,217.0,534.0,10544.0,3600.0,308.0,26,047,2016
106,"Monroe County, Michigan",149945.0,142076.0,3489.0,5049.0,56968.0,13266.0,1788.0,2283.0,2495.0,1870.0,1192.0,834.0,1782.0,1168.0,980.0,2591.0,46588.0,11928.0,1391.0,26,115,2016
107,"Hillsdale County, Michigan",46024.0,44692.0,286.0,975.0,44458.0,3321.0,642.0,783.0,879.0,669.0,412.0,328.0,694.0,357.0,332.0,821.0,13710.0,4065.0,175.0,26,059,2016
108,"Oceana County, Michigan",26152.0,24906.0,305.0,3771.0,41952.0,1971.0,328.0,525.0,597.0,402.0,266.0,251.0,308.0,151.0,166.0,614.0,8029.0,2014.0,1159.0,26,127,2016
109,"Clare County, Michigan",30608.0,29520.0,156.0,570.0,34911.0,1644.0,491.0,674.0,800.0,711.0,360.0,200.0,308.0,196.0,133.0,493.0,10582.0,2336.0,129.0,26,035,2016
110,"Keweenaw County, Michigan",2195.0,2161.0,20.0,24.0,41472.0,247.0,51.0,100.0,88.0,67.0,39.0,14.0,38.0,3.0,14.0,21.0,905.0,118.0,12.0,26,083,2016
111,"Ottawa County, Michigan",276583.0,249851.0,4001.0,25658.0,61367.0,36141.0,2908.0,2894.0,4013.0,2896.0,1936.0,1748.0,5590.0,3313.0,2496.0,6951.0,75408.0,22279.0,8105.0,26,139,2016
112,"Alpena County, Michigan",28929.0,28013.0,172.0,375.0,39832.0,2157.0,379.0,502.0,755.0,521.0,356.0,291.0,316.0,235.0,118.0,442.0,9742.0,2928.0,149.0,26,007,2016
113,"Midland County, Michigan",83559.0,78157.0,1216.0,2090.0,54852.0,11270.0,1020.0,1045.0,1387.0,1266.0,620.0,668.0,1265.0,884.0,478.0,1475.0,25214.0,8543.0,1880.0,26,111,2016
114,"Ogemaw County, Michigan",21103.0,20439.0,64.0,395.0,36941.0,1160.0,353.0,533.0,613.0,450.0,336.0,210.0,225.0,64.0,99.0,358.0,7690.0,1628.0,158.0,26,129,2016
115,"Crawford County, Michigan",13840.0,13314.0,70.0,244.0,41034.0,1120.0,203.0,345.0,446.0,309.0,194.0,103.0,148.0,58.0,73.0,233.0,4843.0,1221.0,110.0,26,039,2016
116,"Gratiot County, Michigan",41676.0,38051.0,2367.0,2348.0,42145.0,2488.0,460.0,519.0,768.0,473.0,367.0,418.0,692.0,519.0,329.0,1302.0,10836.0,3885.0,226.0,26,057,2016
117,"Lenawee County, Michigan",98673.0,91338.0,2891.0,7567.0,49300.0,8828.0,1220.0,1413.0,1966.0,1351.0,760.0,606.0,1561.0,981.0,834.0,1761.0,29398.0,8458.0,912.0,26,091,2016
118,"Mackinac County, Michigan",10998.0,8227.0,241.0,167.0,40747.0,995.0,235.0,224.0,378.0,242.0,188.0,114.0,94.0,32.0,53.0,231.0,3834.0,1396.0,157.0,26,097,2016
119,"Houghton County, Michigan",36565.0,34184.0,282.0,529.0,39080.0,4016.0,439.0,525.0,661.0,589.0,319.0,205.0,1482.0,1156.0,796.0,1706.0,9293.0,4085.0,1319.0,26,061,2016
120,"Lake County, Michigan",11415.0,9983.0,827.0,292.0,30824.0,507.0,222.0,391.0,348.0,349.0,151.0,111.0,133.0,50.0,34.0,167.0,3646.0,748.0,83.0,26,085,2016
121,"Presque Isle County, Michigan",12955.0,12585.0,67.0,145.0,41570.0,1059.0,300.0,319.0,431.0,329.0,267.0,185.0,119.0,31.0,63.0,195.0,5208.0,703.0,66.0,26,141,2016
122,"Kalamazoo County, Michigan",258605.0,210867.0,28060.0,11859.0,49693.0,34182.0,2412.0,2929.0,3695.0,2495.0,1794.0,1725.0,4757.0,3149.0,2926.0,9982.0,64827.0,36762.0,6433.0,26,077,2016
123,"Newaygo County, Michigan",47957.0,45028.0,650.0,2747.0,44049.0,3215.0,606.0,793.0,1108.0,698.0,486.0,411.0,563.0,281.0,222.0,917.0,15295.0,3099.0,549.0,26,123,2016
